Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"BRID","Required by any all all UA's above 250g by LAW (cannot be DIY'ed and this is the cheapest one I could find including shipping",1,99.99,"https://zingdrones.com/products/z-rid-lite-singapore-edition","ZING Drone Solutions"
"Registration  Sticker","Required by any all all UA's above 250g by LAW",1,19.42,"","SingPost Post Office"
"ESC","used to control the motor and split power between reciever, servos and motor",1,0.00,"","Singahobby"
"Servo rods and linkages","Used to connect the servo to the control surfaces (bought in person - no grant required)",2,0.00,"","Singahobby"
"T6L sport (Transmitter) and R3106GF (Reciever)","Used to control the aircraft ((bought in person - no grant required))",1,0.00,"","Singahobby"
"birch plywood","Used for the motor mount (should be brought in person)",1,15.00,"","Artfriend"
"2 cell Lipo battery","Used to provide electrical power (bought in person - no grant required)",1,0.00,"","Singahobby"
"Servo extensions","makes servo cable longer (bought in person - no grant required)",2,0.00,"","Singahobby"
"Depron Foam sheets","Used to build the airframe (bought in person - no grant required)",2,0.00,"","VortexRC"
"Servos","Used to move control surfaces (bought in person - no grant required)",4,0.00,"","Singahobby"
"Motor","powers the aircraft (bought in person - no grant required)",1,0.00,"","Singahobby"